order_date,delivery_date,client_id,client_name,product_family,quantity,unit_price,revenue,on_time,non_conformity,unit_cost,margin,margin_rate
2022-02-04,2022-03-04,CL015,Forvia,Emboutissage,3691,1.49,5499.59,Yes,No,1.25,885.84,16.11
2022-07-25,2022-09-11,CL020,Hutchinson,Chaudronnerie,1453,1399.75,2033836.75,Yes,No,186.02,1763549.69,86.71
2024-10-22,2024-11-23,CL015,Forvia,Chaudronnerie,4206,1653.57,6954915.42,Yes,No,921.56,3078834.06,44.27
2024-10-18,2024-11-05,CL001,Renault,Tôlerie,3020,278.91,842308.2,No,No,127.7,456654.2,54.21
2023-07-20,2023-08-12,CL025,Manoir Industries,Découpage,582,0.75,436.5,Yes,No,0.58,98.94,22.67
2023-12-04,2023-12-24,CL014,Plastic Omnium,Découpage,1342,2.91,3905.22,Yes,No,2.73,241.56,6.19
2023-02-06,2023-02-26,CL005,Thales,Emboutissage,4763,9.42,44867.46,Yes,No,2.68,32102.62,71.55
2023-12-31,2024-02-09,CL011,Total Energies,Tôlerie,4012,318.93,1279547.16,Yes,No,179.77,558309.92,43.63
2022-06-11,2022-08-09,CL016,Soitec,Tôlerie,3144,414.24,1302370.56,Yes,No,109.6,957788.16,73.54
2022-07-21,2022-08-16,CL002,Stellantis,Chaudronnerie,4096,1640.27,6718545.92,Yes,No,930.42,2907545.6,43.28
2024-09-22,2024-10-09,CL008,Valeo,Chaudronnerie,235,1877.83,441290.05,Yes,No,519.88,319118.25,72.31
2022-09-27,2022-10-19,CL011,Total Energies,Chaudronnerie,4210,1586.41,6678786.1,Yes,No,1359.71,954407.0,14.29
2024-03-26,2024-05-22,CL029,Timet,Emboutissage,2007,7.73,15514.11,Yes,No,5.13,5218.2,33.64
2023-04-01,2023-05-08,CL018,Naval Group,Emboutissage,781,3.11,2428.91,Yes,No,1.56,1210.55,49.84
2024-10-13,2024-10-25,CL003,Airbus,Chaudronnerie,4534,307.87,1395882.58,Yes,No,665.04,-1619408.78,-116.01
2022-10-23,2022-11-17,CL030,Ugitech,Tôlerie,443,282.92,125333.56,Yes,No,156.41,56043.93,44.72
2023-12-21,2024-02-02,CL026,Hydro Extrusion,Emboutissage,3109,2.12,6591.08,Yes,No,4.07,-6062.55,-91.98
2022-12-04,2022-12-14,CL001,Renault,Tôlerie,2739,482.99,1322909.61,Yes,No,300.21,500634.42,37.84
2024-05-28,2024-07-20,CL011,Total Energies,Tôlerie,3417,180.47,616665.99,No,No,218.78,-130905.27,-21.23
2024-12-12,2024-12-22,CL016,Soitec,Découpage,3150,4.34,13671.0,Yes,No,0.5,12096.0,88.48
2024-03-02,2024-03-28,CL018,Naval Group,Chaudronnerie,875,897.72,785505.0,Yes,No,965.82,-59587.5,-7.59
2022-08-05,2022-08-21,CL030,Ugitech,Découpage,2803,1.95,5465.85,No,No,0.33,4540.86,83.08
2024-02-03,2024-03-04,CL016,Soitec,Chaudronnerie,2921,1883.29,5501090.09,Yes,No,1122.75,2221537.34,40.38
2022-07-07,2022-08-17,CL023,Figeac Aero,Chaudronnerie,2425,853.98,2070901.5,Yes,No,979.96,-305501.5,-14.75
2023-01-15,2023-02-16,CL010,Legrand,Tôlerie,260,225.63,58663.8,Yes,No,132.27,24273.6,41.38
2023-05-08,2023-06-20,CL018,Naval Group,Chaudronnerie,4961,390.97,1939602.17,Yes,No,508.48,-582967.11,-30.06
2024-11-30,2025-01-13,CL006,Schneider Electric,Tôlerie,3767,351.7,1324853.9,Yes,No,286.46,245759.08,18.55
2022-01-15,2022-02-11,CL019,MBDA,Tôlerie,4666,179.98,839786.68,Yes,No,281.75,-474858.82,-56.55
2022-03-06,2022-04-21,CL004,Safran,Chaudronnerie,928,1254.09,1163795.52,Yes,No,583.9,621936.32,53.44
2023-06-05,2023-07-20,CL027,Constellium,Tôlerie,1183,316.11,373958.13,Yes,No,129.17,221150.02,59.14
2023-10-10,2023-11-06,CL013,Michelin,Tôlerie,3213,373.64,1200505.32,Yes,No,211.34,521469.9,43.44
2024-12-22,2025-01-07,CL024,Aubert & Duval,Tôlerie,442,385.36,170329.12,Yes,No,37.64,153692.24,90.23
2023-08-16,2023-09-29,CL014,Plastic Omnium,Emboutissage,845,5.63,4757.35,Yes,No,1.22,3726.45,78.33
2023-01-27,2023-03-20,CL003,Airbus,Tôlerie,2256,198.95,448831.2,Yes,No,74.74,280217.76,62.43
2023-02-23,2023-03-05,CL010,Legrand,Emboutissage,2272,8.54,19402.88,Yes,No,1.87,15154.24,78.1
2022-10-16,2022-12-06,CL006,Schneider Electric,Emboutissage,907,3.79,3437.53,Yes,No,3.93,-126.98,-3.69
2023-01-14,2023-02-09,CL001,Renault,Tôlerie,3642,278.38,1013859.96,Yes,No,347.56,-251953.56,-24.85
2022-08-19,2022-09-11,CL023,Figeac Aero,Tôlerie,4577,230.56,1055273.12,No,No,240.57,-45815.77,-4.34
2024-10-14,2024-10-27,CL024,Aubert & Duval,Emboutissage,3825,8.7,33277.5,Yes,No,1.09,29108.25,87.47
2022-02-10,2022-02-20,CL027,Constellium,Emboutissage,256,4.89,1251.84,Yes,No,4.01,225.28,18.0
2024-11-17,2024-12-22,CL014,Plastic Omnium,Tôlerie,2439,223.74,545701.86,No,No,191.44,78779.7,14.44
2022-05-15,2022-06-04,CL008,Valeo,Tôlerie,1000,360.42,360420.0,Yes,No,80.41,280010.0,77.69
2022-07-20,2022-07-29,CL019,MBDA,Chaudronnerie,3320,1284.39,4264174.8,Yes,No,1299.54,-50298.0,-1.18
2024-02-19,2024-03-20,CL014,Plastic Omnium,Emboutissage,936,1.97,1843.92,Yes,No,3.48,-1413.36,-76.65
2024-07-18,2024-08-30,CL010,Legrand,Emboutissage,3448,5.57,19205.36,Yes,No,6.97,-4827.2,-25.13
2024-11-22,2024-12-14,CL017,Dassault Aviation,Chaudronnerie,2617,1523.86,3987941.62,Yes,No,669.29,2236409.69,56.08
2024-12-07,2025-02-03,CL009,Saint-Gobain,Emboutissage,1084,9.93,10764.12,Yes,No,4.53,5853.6,54.38
2023-05-18,2023-05-28,CL029,Timet,Découpage,4032,3.33,13426.56,Yes,No,0.64,10846.08,80.78
2023-02-11,2023-03-13,CL006,Schneider Electric,Emboutissage,3809,4.33,16492.97,Yes,No,3.56,2932.93,17.78
2024-03-15,2024-04-24,CL011,Total Energies,Chaudronnerie,4794,607.07,2910293.58,Yes,No,440.85,796858.68,27.38
2022-04-09,2022-05-15,CL025,Manoir Industries,Découpage,3161,4.43,14003.23,Yes,No,2.97,4615.06,32.96
2023-11-15,2023-12-09,CL007,Faurecia,Tôlerie,3448,416.55,1436264.4,Yes,No,281.93,464169.76,32.32
2023-12-27,2024-01-21,CL017,Dassault Aviation,Chaudronnerie,4583,621.06,2846317.98,Yes,No,1178.47,-2554610.03,-89.75
2024-08-18,2024-09-24,CL028,Aperam,Chaudronnerie,3501,561.14,1964551.14,Yes,No,1051.75,-1717625.61,-87.43
2023-09-05,2023-09-30,CL028,Aperam,Tôlerie,716,371.81,266215.96,Yes,No,297.3,53349.16,20.04
2023-10-05,2023-11-29,CL001,Renault,Chaudronnerie,3074,766.91,2357481.34,Yes,No,393.04,1149276.38,48.75
2024-10-25,2024-12-16,CL022,Mecachrome,Emboutissage,763,3.76,2868.88,Yes,No,3.55,160.23,5.59
2023-05-18,2023-06-12,CL005,Thales,Tôlerie,597,118.53,70762.41,Yes,No,252.93,-80236.8,-113.39
2024-02-06,2024-03-05,CL009,Saint-Gobain,Chaudronnerie,1344,675.16,907415.04,Yes,No,943.11,-360124.8,-39.69
2023-02-02,2023-03-04,CL018,Naval Group,Tôlerie,1857,242.38,450099.66,Yes,No,260.65,-33927.39,-7.54
2024-05-20,2024-07-10,CL024,Aubert & Duval,Tôlerie,3944,379.78,1497852.32,No,No,105.64,1081208.16,72.18
2024-03-05,2024-03-23,CL027,Constellium,Tôlerie,3936,201.34,792474.24,No,No,66.01,532658.88,67.21
2023-01-28,2023-03-05,CL021,Lisi Group,Découpage,3327,1.98,6587.46,Yes,No,3.23,-4158.75,-63.13
2022-07-26,2022-09-08,CL002,Stellantis,Chaudronnerie,4030,712.84,2872745.2,Yes,No,845.82,-535909.4,-18.65
2024-11-04,2025-01-02,CL029,Timet,Découpage,3165,2.65,8387.25,Yes,No,0.79,5886.9,70.19
2024-06-10,2024-07-17,CL026,Hydro Extrusion,Chaudronnerie,4312,525.15,2264446.8,Yes,No,1139.73,-2650068.96,-117.03
2024-05-13,2024-06-24,CL011,Total Energies,Emboutissage,2208,5.37,11856.96,Yes,No,6.46,-2406.72,-20.3
2024-01-13,2024-02-07,CL027,Constellium,Emboutissage,174,7.34,1277.16,No,No,1.77,969.18,75.89
2023-07-18,2023-09-10,CL028,Aperam,Emboutissage,2008,1.27,2550.16,Yes,No,5.85,-9196.64,-360.63
2024-10-17,2024-12-07,CL006,Schneider Electric,Chaudronnerie,3067,217.6,667379.2,Yes,No,1315.86,-3368363.42,-504.72
2022-04-06,2022-05-18,CL026,Hydro Extrusion,Tôlerie,2094,83.81,175498.14,Yes,No,330.58,-516736.38,-294.44
2023-04-30,2023-06-05,CL008,Valeo,Tôlerie,4438,291.05,1291679.9,Yes,No,322.96,-141616.58,-10.96
2022-08-19,2022-10-13,CL004,Safran,Découpage,412,4.35,1792.2,Yes,No,2.05,947.6,52.87
2024-01-19,2024-02-27,CL018,Naval Group,Découpage,423,0.52,219.96,Yes,No,1.44,-389.16,-176.92
2023-06-25,2023-07-19,CL028,Aperam,Emboutissage,54,9.43,509.22,Yes,No,0.75,468.72,92.05
2024-11-25,2025-01-22,CL011,Total Energies,Découpage,4167,0.98,4083.66,Yes,No,0.49,2041.83,50.0
2023-06-09,2023-08-03,CL005,Thales,Chaudronnerie,2477,1715.57,4249466.89,Yes,No,680.34,2564264.71,60.34
2023-08-01,2023-09-04,CL015,Forvia,Chaudronnerie,877,1069.14,937635.78,Yes,No,643.15,373593.23,39.84
2023-11-13,2024-01-05,CL028,Aperam,Découpage,28,3.47,97.16,Yes,No,0.89,72.24,74.35
2023-07-11,2023-07-28,CL018,Naval Group,Découpage,374,2.8,1047.2,Yes,No,1.57,460.02,43.93
2024-10-09,2024-11-29,CL002,Stellantis,Découpage,3842,2.65,10181.3,Yes,No,0.86,6877.18,67.55
2023-10-08,2023-11-16,CL022,Mecachrome,Découpage,589,4.26,2509.14,Yes,No,3.02,730.36,29.11
2024-03-06,2024-03-29,CL011,Total Energies,Emboutissage,555,7.8,4329.0,Yes,No,2.58,2897.1,66.92
2024-11-17,2024-11-29,CL026,Hydro Extrusion,Emboutissage,4160,5.35,22256.0,Yes,No,4.47,3660.8,16.45
2022-07-09,2022-07-19,CL025,Manoir Industries,Découpage,4883,1.0,4883.0,Yes,No,1.91,-4443.53,-91.0
2023-09-25,2023-10-21,CL013,Michelin,Chaudronnerie,3049,407.73,1243168.77,Yes,No,205.37,616995.64,49.63
2023-09-20,2023-11-13,CL004,Safran,Emboutissage,4147,8.21,34046.87,Yes,No,6.64,6510.79,19.12
2024-08-30,2024-10-22,CL022,Mecachrome,Chaudronnerie,4054,1152.9,4673856.6,No,No,804.3,1413224.4,30.24
2023-12-11,2024-01-13,CL007,Faurecia,Tôlerie,4336,266.72,1156497.92,Yes,No,137.39,560774.88,48.49
2023-10-11,2023-11-01,CL029,Timet,Chaudronnerie,462,1425.02,658359.24,Yes,No,339.24,501630.36,76.19
2022-11-14,2022-11-26,CL011,Total Energies,Découpage,3971,4.36,17313.56,Yes,No,1.38,11833.58,68.35
2023-11-15,2024-01-07,CL022,Mecachrome,Tôlerie,1391,332.99,463189.09,Yes,No,41.46,405518.23,87.55
2023-10-26,2023-11-15,CL024,Aubert & Duval,Emboutissage,1477,7.87,11623.99,Yes,No,2.99,7207.76,62.01
2023-03-18,2023-04-04,CL004,Safran,Emboutissage,2748,7.89,21681.72,Yes,No,4.05,10552.32,48.67
2023-07-18,2023-09-01,CL028,Aperam,Tôlerie,1226,210.32,257852.32,Yes,No,309.64,-121766.32,-47.22
2024-08-09,2024-08-24,CL015,Forvia,Chaudronnerie,890,693.35,617081.5,Yes,No,1006.09,-278338.6,-45.11
2023-11-30,2024-01-01,CL001,Renault,Emboutissage,3824,8.21,31395.04,No,No,1.4,26041.44,82.95
2022-04-23,2022-05-15,CL023,Figeac Aero,Découpage,3159,2.2,6949.8,Yes,No,0.77,4517.37,65.0
2022-01-02,2022-01-13,CL003,Airbus,Tôlerie,94,456.5,42911.0,Yes,No,169.86,26944.16,62.79
2023-10-04,2023-12-01,CL014,Plastic Omnium,Découpage,4154,0.81,3364.74,Yes,No,0.93,-498.48,-14.81
2022-08-08,2022-08-24,CL006,Schneider Electric,Tôlerie,1178,76.2,89763.6,Yes,No,43.77,38202.54,42.56
2024-05-04,2024-06-29,CL018,Naval Group,Emboutissage,4174,9.34,38985.16,Yes,No,5.77,14901.18,38.22
2023-01-20,2023-01-29,CL025,Manoir Industries,Chaudronnerie,3139,1367.22,4291703.58,Yes,No,164.6,3775024.18,87.96
2024-12-12,2024-12-31,CL001,Renault,Tôlerie,3655,220.82,807097.1,Yes,No,296.67,-277231.75,-34.35
2023-12-31,2024-02-18,CL006,Schneider Electric,Tôlerie,2536,389.78,988482.08,Yes,No,80.39,784613.04,79.38
2022-09-04,2022-10-29,CL006,Schneider Electric,Découpage,2877,3.53,10155.81,Yes,No,3.42,316.47,3.12
2024-04-15,2024-05-21,CL021,Lisi Group,Emboutissage,3526,5.78,20380.28,Yes,No,4.5,4513.28,22.15
2022-07-22,2022-09-11,CL016,Soitec,Découpage,3377,0.94,3174.38,Yes,No,2.65,-5774.67,-181.91
2022-05-03,2022-05-15,CL029,Timet,Emboutissage,2204,8.31,18315.24,Yes,No,1.4,15229.64,83.15
2023-02-05,2023-02-28,CL005,Thales,Découpage,3565,4.4,15686.0,No,No,3.06,4777.1,30.45
2024-02-06,2024-03-28,CL017,Dassault Aviation,Tôlerie,455,127.48,58003.4,Yes,No,299.35,-78200.85,-134.82
2022-10-21,2022-12-17,CL010,Legrand,Découpage,3636,4.33,15743.88,Yes,No,2.39,7053.84,44.8
2022-10-07,2022-12-05,CL028,Aperam,Chaudronnerie,4026,1780.13,7166803.38,Yes,No,772.87,4055228.76,56.58
2024-06-02,2024-06-27,CL021,Lisi Group,Emboutissage,3885,5.94,23076.9,Yes,No,5.25,2680.65,11.62
2022-07-17,2022-09-03,CL018,Naval Group,Emboutissage,3347,6.91,23127.77,Yes,No,0.74,20650.99,89.29
2024-09-08,2024-10-19,CL007,Faurecia,Tôlerie,271,222.01,60164.71,No,Yes,221.62,105.69,0.18
2024-01-22,2024-03-14,CL003,Airbus,Emboutissage,1858,3.54,6577.32,Yes,No,6.04,-4645.0,-70.62
2022-05-24,2022-06-25,CL013,Michelin,Chaudronnerie,4035,1499.57,6050764.95,Yes,No,589.69,3671365.8,60.68
2023-09-01,2023-10-28,CL015,Forvia,Découpage,2276,4.38,9968.88,Yes,No,0.65,8489.48,85.16
2022-07-06,2022-07-17,CL020,Hutchinson,Tôlerie,101,344.33,34777.33,Yes,No,167.58,17851.75,51.33
2023-04-09,2023-05-14,CL019,MBDA,Chaudronnerie,4232,1120.86,4743479.52,Yes,No,1056.15,273852.72,5.77
2023-10-22,2023-12-04,CL003,Airbus,Emboutissage,4185,2.43,10169.55,Yes,No,1.38,4394.25,43.21
2024-02-03,2024-02-29,CL004,Safran,Emboutissage,3319,1.48,4912.12,Yes,No,2.0,-1725.88,-35.14
2024-08-12,2024-10-06,CL005,Thales,Chaudronnerie,992,1002.25,994232.0,No,No,325.92,670919.36,67.48
2023-02-07,2023-03-06,CL001,Renault,Découpage,3453,0.72,2486.16,Yes,No,2.85,-7354.89,-295.83
2022-05-27,2022-06-12,CL004,Safran,Découpage,2543,3.06,7781.58,Yes,No,0.5,6510.08,83.66
2024-05-13,2024-05-24,CL012,Alstom,Tôlerie,703,222.23,156227.69,No,No,251.27,-20415.12,-13.07
2023-05-04,2023-06-15,CL028,Aperam,Emboutissage,4130,7.81,32255.3,Yes,No,3.01,19824.0,61.46
2024-07-17,2024-07-29,CL027,Constellium,Chaudronnerie,165,750.17,123778.05,Yes,No,1092.3,-56451.45,-45.61
2023-07-05,2023-08-06,CL024,Aubert & Duval,Découpage,3598,3.17,11405.66,Yes,No,3.39,-791.56,-6.94
2022-12-04,2022-12-14,CL010,Legrand,Tôlerie,1822,291.96,531951.12,Yes,No,71.08,402443.36,75.65
2024-05-21,2024-07-05,CL023,Figeac Aero,Emboutissage,4124,1.04,4288.96,No,No,2.68,-6763.36,-157.69
2023-10-03,2023-11-17,CL025,Manoir Industries,Emboutissage,1417,1.65,2338.05,No,No,5.8,-5880.55,-251.52
2023-04-18,2023-06-13,CL021,Lisi Group,Tôlerie,1226,180.67,221501.42,No,No,118.84,75803.58,34.22
2022-05-31,2022-07-11,CL029,Timet,Tôlerie,1420,447.01,634754.2,Yes,No,102.76,488835.0,77.01
2022-09-20,2022-09-27,CL026,Hydro Extrusion,Découpage,3507,1.16,4068.12,Yes,No,2.94,-6242.46,-153.45
2022-05-24,2022-06-23,CL020,Hutchinson,Chaudronnerie,4382,1479.61,6483651.02,No,No,1383.72,420189.98,6.48
2022-12-12,2023-01-23,CL024,Aubert & Duval,Emboutissage,4850,9.76,47336.0,No,No,4.21,26917.5,56.86
2023-09-16,2023-09-28,CL025,Manoir Industries,Chaudronnerie,561,1623.02,910514.22,Yes,No,490.34,635433.48,69.79
2024-10-13,2024-11-29,CL013,Michelin,Emboutissage,3404,3.19,10858.76,Yes,Yes,3.21,-68.08,-0.63
2024-05-30,2024-07-21,CL023,Figeac Aero,Emboutissage,1186,9.18,10887.48,Yes,No,1.77,8788.26,80.72
2022-01-02,2022-02-21,CL014,Plastic Omnium,Chaudronnerie,4744,367.59,1743846.96,Yes,No,1099.98,-3474458.16,-199.24
2024-06-15,2024-07-22,CL023,Figeac Aero,Tôlerie,4342,260.66,1131785.72,Yes,No,278.64,-78069.16,-6.9
2022-09-11,2022-10-07,CL005,Thales,Découpage,1007,4.49,4521.43,No,No,3.1,1399.73,30.96
2023-03-29,2023-04-28,CL004,Safran,Emboutissage,4086,6.77,27662.22,No,No,0.87,24107.4,87.15
2024-11-26,2024-12-27,CL014,Plastic Omnium,Tôlerie,2741,236.14,647259.74,Yes,No,212.02,66112.92,10.21
2024-10-11,2024-11-22,CL010,Legrand,Emboutissage,3947,3.64,14367.08,Yes,No,2.05,6275.73,43.68
2022-01-09,2022-02-05,CL017,Dassault Aviation,Découpage,4062,2.19,8895.78,Yes,No,1.39,3249.6,36.53
2024-03-26,2024-05-01,CL010,Legrand,Emboutissage,382,5.58,2131.56,Yes,No,5.65,-26.74,-1.25
2022-07-27,2022-08-26,CL026,Hydro Extrusion,Découpage,2258,1.94,4380.52,Yes,No,0.91,2325.74,53.09
2023-02-08,2023-03-30,CL007,Faurecia,Découpage,858,4.86,4169.88,Yes,Yes,2.34,2162.16,51.85
2022-06-01,2022-07-19,CL016,Soitec,Emboutissage,2566,9.4,24120.4,No,No,4.82,11752.28,48.72
2022-02-23,2022-03-31,CL001,Renault,Emboutissage,2332,8.84,20614.88,No,No,6.71,4967.16,24.1
2023-09-20,2023-10-18,CL017,Dassault Aviation,Découpage,513,2.4,1231.2,Yes,No,2.78,-194.94,-15.83
2023-08-10,2023-09-13,CL021,Lisi Group,Tôlerie,3199,361.09,1155126.91,Yes,No,288.15,233335.06,20.2
2022-04-14,2022-04-27,CL029,Timet,Chaudronnerie,712,1825.09,1299464.08,No,No,809.82,722872.24,55.63
2022-09-11,2022-10-22,CL009,Saint-Gobain,Découpage,3635,4.33,15739.55,Yes,No,0.9,12468.05,79.21
2023-05-25,2023-06-28,CL006,Schneider Electric,Emboutissage,324,4.73,1532.52,Yes,No,3.38,437.4,28.54
2022-04-09,2022-04-29,CL019,MBDA,Emboutissage,2386,2.01,4795.86,Yes,No,4.16,-5129.9,-106.97
2022-06-02,2022-06-18,CL013,Michelin,Tôlerie,1050,84.03,88231.5,Yes,No,248.7,-172903.5,-195.97
2024-07-02,2024-07-24,CL003,Airbus,Chaudronnerie,4388,1238.72,5435503.36,Yes,No,905.71,1461247.88,26.88
2024-05-27,2024-06-18,CL007,Faurecia,Découpage,3000,3.39,10170.0,Yes,No,1.56,5490.0,53.98
2022-12-04,2023-01-10,CL022,Mecachrome,Découpage,267,4.32,1153.44,No,No,1.15,846.39,73.38
2024-04-01,2024-05-19,CL009,Saint-Gobain,Chaudronnerie,584,726.53,424293.52,Yes,No,351.97,218743.04,51.55
2024-08-14,2024-09-14,CL022,Mecachrome,Découpage,4679,1.25,5848.75,No,No,2.52,-5942.33,-101.6
2022-06-10,2022-06-29,CL005,Thales,Chaudronnerie,1562,882.21,1378012.02,No,No,953.2,-110886.38,-8.05
2024-03-11,2024-03-23,CL010,Legrand,Emboutissage,4528,4.18,18927.04,Yes,No,5.03,-3848.8,-20.33
2023-02-02,2023-03-24,CL023,Figeac Aero,Chaudronnerie,767,438.44,336283.48,Yes,No,609.38,-131110.98,-38.99
2024-03-26,2024-04-10,CL017,Dassault Aviation,Découpage,2820,3.53,9954.6,Yes,No,1.14,6739.8,67.71
2023-02-05,2023-03-28,CL012,Alstom,Chaudronnerie,1114,1115.65,1242834.1,Yes,No,1097.25,20497.6,1.65
2023-10-02,2023-11-13,CL023,Figeac Aero,Tôlerie,4534,374.51,1698028.34,Yes,No,278.7,434402.54,25.58
2024-11-22,2025-01-10,CL016,Soitec,Emboutissage,3469,4.17,14465.73,Yes,No,3.57,2081.4,14.39
2023-11-19,2023-12-15,CL003,Airbus,Emboutissage,4002,3.93,15727.86,Yes,No,4.55,-2481.24,-15.78
2023-04-05,2023-04-29,CL030,Ugitech,Chaudronnerie,213,1050.64,223786.32,Yes,No,610.63,93722.13,41.88
